impound_no,Animal_ID,Data_Source,Record_Type,Link,location,name,animal_type,Age,Animal_Gender,breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,picture,image_alt_text,Description ,Temperament
K19-116752,A583774,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Ax,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,04/27/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,ENUMCLAW,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583774,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Ax and I am available for adoption.<p/><p/>I was brought in by my previous owner on April 27, 2019 because they were moving. I lived in a home with another cat named Dently, and we would love a home together. We are both very nervous in this environment, but at least we have each other!  We love to snuggle and sometimes we even lay on top of each other.  We are looking for the perfect home that wants two gorgeous, orange kitties! <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",
K19-116753,A583775,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Dently,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,04/27/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,ENUMCLAW,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583775,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Dently and I am available for adoption.<p/><p/>I was brought in by my previous owner on April 27, 2019 because they were moving. I lived in a home with another cat named Ax, and we would love a home together. We are both very nervous in this environment, but at least we have each other!  We love to snuggle and sometimes we even lay on top of each other.  We are looking for the perfect home that wants two gorgeous, orange kitties! <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",
K19-116765,A583783,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Katrina,Cat,1 YEAR,Female,Domestic Longhair,Black / White,04/27/2019 12:00:00 AM,Received on,10300 SE 225TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583783,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Found Near: 10300 SE 225TH PL, KENT WA 98031<p/> Description: Black / White Female Domestic Longhair Cat<p/> Age: 1 YEAR<p/> Current Location: In RASKC Foster Home <p/>",
K19-116763,A583781,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Longhair,Black / White,04/27/2019 12:00:00 AM,Received on,10300 SE 225TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583781,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Found Near: 10300 SE 225TH PL, KENT WA 98031<p/> Description: Black / White Female Domestic Longhair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116762,A583780,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Longhair,Brn Tabby / White,04/27/2019 12:00:00 AM,Received on,10300 SE 225TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583780,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Found Near: 10300 SE 225TH PL, KENT WA 98031<p/> Description: Brn Tabby / White Male Domestic Longhair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116764,A583782,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray / White,04/27/2019 12:00:00 AM,Received on,10300 SE 225TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583782,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Found Near: 10300 SE 225TH PL, KENT WA 98031<p/> Description: Gray / White Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116768,A583784,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,10 WEEKS,Male,Domestic Shorthair,Gray,04/27/2019 12:00:00 AM,Received on,25600 29TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583784,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Found Near: 25600 29TH AVE S, KENT WA 98032<p/> Description: Gray Male Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116789,A583813,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A583813,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mimas,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Black,04/28/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583813,Image Copyright HLP Inc. 2019,"Received on: 2019-04-28<p/> Description: Black<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Mima and I am available for adoption.<p/><p/><p/>I was brought in by a good samaritan on 4/28/19.<p/><p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/><p/>I may do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/>",
K19-116791,A583814,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Unaltered,Duck,Yellow / Brown,04/28/2019 12:00:00 AM,Received on,16300 ASH WAY,LYNNWOOD,WA,98087,SNOHOMISH COUNT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-04-28<p/> Found Near: 16300 ASH WAY, LYNNWOOD WA 98087<p/> Description: Yellow / Brown Unaltered Duck Bird<p/> Age: NO AGE<p/>",
K19-116788,A583812,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Male,Pit Bull,Tan / White,04/28/2019 12:00:00 AM,Received on,21000 FRAGER RD S,KENT,WA,98032,KENT,47.41338,-122.265179,,Image Copyright HLP Inc. 2019,"Received on: 2019-04-28<p/> Found Near: 21000 FRAGER RD S, KENT WA 98032<p/> Description: Tan / White Male Pit Bull Dog<p/> Age: NO AGE<p/>",
K19-116789,A583813,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A583813,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mimas,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Black,04/28/2019 12:00:00 AM,Received on,24200 101ST PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583813,Image Copyright HLP Inc. 2019,"Received on: 2019-04-28<p/> Found Near: 24200 101ST PL SE, KENT WA 98030<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116810,A583881,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A583881,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Edgar,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,04/29/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583881,Image Copyright HLP Inc. 2019,"Received on: 2019-04-29<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Edgar and I am available for adoption.<p/><p/>I was brought in by a good samaritan on April 29th, 2019.<p/><p/>I am a shy guy who tries really hard to be social but my nerves get the best of me sometimes and I hide. I really do love pets but because I am such a nervous nelly, I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break .My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-116804,A583858,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A583858,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Garfield,Cat,1 YEAR 6 MONTHS,Neutered Male,Domestic Shorthair,Org Tabby / White,04/29/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583858,Image Copyright HLP Inc. 2019,"Received on: 2019-04-29<p/> Description: Org Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Garfield and I am available for adoption.<p/><p/>I was brought in by my previous owner on 4/29/19. I've lived mainly outdoors with my brothers and sisters. My previous owner described me as shy and loving.<p/><p/>Hi there, I'm what you would call an undersocialized kitten. It doesn't mean anything bad it just means when I was wee little one, I was not taught about how nice and awesome people can be to me. I'm very scared at first but once you take the time to show me I can trust you, I will melt in your arms. Although, I'm a fearful kitty, I actually really love to snuggle and purr! I would love to go to a home with one of my siblings or with a younger, confident kitty friend! <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",
K19-116800,A583853,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A583853,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Maggie,Cat,1 YEAR,Spayed Female,Siamese,Seal Pt,04/29/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583853,Image Copyright HLP Inc. 2019,"Received on: 2019-04-29<p/> Description: Seal Pt<p/>  Spayed Female Siamese Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Maggie and I am available for adoption.<p/><p/>I was brought in with my brothers and sisters by my previous owner on 4/29/19. I've lived mainly outdoors  with other cats. My previous owner described me as shy.<p/><p/>Hi there, I'm what you would call an undersocialized kitten. It doesn't mean anything bad it just means when I was wee little one, I was not taught about how nice and awesome people can be to me. I'm very scared at first but once you take the time to show me I can trust you, I will melt in your arms. Although, I'm a fearful kitty, I actually really love to snuggle and purr! I would love to go to a home with one of my siblings or with a younger, confident kitty friend! <p/><p/>My personality color is BLUE/GREEN. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations but I quikly warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-116813,A583884,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A583884,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Storm,Cat,3 YEARS,Spayed Female,Domestic Shorthair,Gray,04/29/2019 12:00:00 AM,Received on,13900 SE 275TH ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583884,Image Copyright HLP Inc. 2019,"Received on: 2019-04-29<p/> Found Near: 13900 SE 275TH ST, KENT WA 98042<p/> Description: Gray Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-116810,A583881,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A583881,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Edgar,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,04/29/2019 12:00:00 AM,Received on,19900 SE 283RD ST,AUBURN,WA,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583881,Image Copyright HLP Inc. 2019,"Received on: 2019-04-29<p/> Found Near: 19900 SE 283RD ST, AUBURN WA 98092<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-116798,A583834,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A583834,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nimbus,Dog,4 YEARS,Neutered Male,Pit Bull,Tricolor,04/29/2019 12:00:00 AM,Received on,22500 SE 444TH ST,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583834,Image Copyright HLP Inc. 2019,"Received on: 2019-04-29<p/> Found Near: 22500 SE 444TH ST, ENUMCLAW WA 98022<p/> Description: Tricolor Neutered Male Pit Bull Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-116828,A393631,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A393631,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Shilo,Cat,11 YEARS 8 MONTHS,Neutered Male,Domestic Shorthair,Black / White,04/30/2019 12:00:00 AM,Received on,28606 132ND AVE SE,KENT,WA,98042,KENT,47.344857,-122.164359,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A393631,Image Copyright HLP Inc. 2019,"Received on: 2019-04-30<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 11 YEARS 8 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p/>Hi! My name is Shilo and I am available for adoption.<p/><p/><p/><p/>I was brought in by my previous owner on 4/30/19 because of housing issues. I lived in a home with other cats and children of all ages. My previous owner described me as outgoing, loving and devoted.<p/><p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/><p/>",GREEN
K19-116823,A583940,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A583940,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Messier,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Gray,04/30/2019 12:00:00 AM,Received on,3400 S 262ND ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583940,Image Copyright HLP Inc. 2019,"Received on: 2019-04-30<p/> Found Near: 3400 S 262ND ST, KENT WA 98032<p/> Description: Gray Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116846,A584038,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584038,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Missy,Dog,7 YEARS,Spayed Female,Chihuahua - Smooth Coated,Black / Brown,05/01/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584038,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Description: Black / Brown<p/>  Spayed Female Chihuahua - Smooth Coated Dog<p/> Age: 7 YEARS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Missy and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/1/19 because they are unable to care for me.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other small dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/><p/>",BLUE
K19-116854,A584050,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584050,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Celeste,Cat,2 YEARS,Spayed Female,Domestic Longhair,Black,05/01/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584050,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Description: Black<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Celeste and I am available for adoption.<p/><p/>I was brought in by a good samaritan on May 1, 2019.<p/><p/>I am a sweet but shy gal who just wants to relax and find a home to call my own. I really like quiet, serene and peaceful humans who love to give really nice chin scratches. Take me home and have a bestie for life! <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-116853,A226824,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A226824,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cookie,Dog,13 YEARS,Spayed Female,Shih Tzu / Mix,Gray / White,05/01/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A226824,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Description: Gray / White<p/>  Spayed Female Shih Tzu / Mix Dog<p/> Age: 13 YEARS<p/> Adoption Fee: $150.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cookie and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/1/19 because unable to care for me.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other small dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/><p/>",GREEN
K19-116854,A584050,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584050,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Celeste,Cat,2 YEARS,Spayed Female,Domestic Longhair,Black,05/01/2019 12:00:00 AM,Received on,23800 110TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584050,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 23800 110TH AVE SE, KENT WA 98031<p/> Description: Black Spayed Female Domestic Longhair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-116858,A584054,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Shorthair,Black / White,05/01/2019 12:00:00 AM,Received on,23800 110TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584054,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 23800 110TH AVE SE, KENT WA 98031<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116857,A584053,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Shorthair,Brn Tabby,05/01/2019 12:00:00 AM,Received on,23800 110TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584053,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 23800 110TH AVE SE, KENT WA 98031<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116855,A584051,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Shorthair,Brn Tabby,05/01/2019 12:00:00 AM,Received on,23800 110TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584051,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 23800 110TH AVE SE, KENT WA 98031<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116856,A584052,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Shorthair,Brn Tabby,05/01/2019 12:00:00 AM,Received on,23800 110TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584052,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 23800 110TH AVE SE, KENT WA 98031<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116859,A584055,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,4 YEARS,Unaltered,Domestic Shorthair,Black,05/01/2019 12:00:00 AM,Received on,24000 36TH AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 24000 36TH AVE S, KENT WA 98032<p/> Description: Black Unaltered Domestic Shorthair Cat<p/> Age: 4 YEARS<p/>",
K19-116874,A584097,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584097,"Tukwila Petco 17200 SOUTHCENTER PKWY 100 TUKWILA, WA 98188",Orion,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,05/02/2019 12:00:00 AM,Received on,17200 SOUTHCENTER PKWY 100,TUKWILA,WA,98188,TUKWILA,47.449119,-122.25821,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584097,Image Copyright HLP Inc. 2019,"Received on: 2019-05-02<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: Tukwila Petco 17200 SOUTHCENTER PKWY 100 TUKWILA, WA 98188<p/>Hi! My name is Oion and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on May 2, 2019.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/>",GREEN
K19-116887,A584139,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584139,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sydney,Dog,2 YEARS,Spayed Female,American Staffordshire / Mix,Brown / White,05/02/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584139,Image Copyright HLP Inc. 2019,"Received on: 2019-05-02<p/> Description: Brown / White<p/>  Spayed Female American Staffordshire / Mix Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi, my name is Sydney!<p/><p/>I came to the shelter on 5/2/19.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I would do best in a home with older children.<p/><p/>Come meet me today!<p/>",BLUE
K19-116882,A584110,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584110,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Daisy May,Cat,13 YEARS,Spayed Female,Domestic Longhair,Dilute Tor / White,05/02/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584110,Image Copyright HLP Inc. 2019,"Received on: 2019-05-02<p/> Description: Dilute Tor / White<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 13 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Daisy May and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/2/19 because they were moving. I lived in a home with other cats and dogs. My previous owner described me as loving and playful.<p/><p/>I'm a good lap cat that just wants to hang out and relax with you. Although I am super sweet and snuggly, I do have an independent side and like to do my own thing. A few of my favorite things are bird watching in the window, snacks and a nice cozy lap. My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/>",GREEN
