impound_no,Animal_ID,Data_Source,Record_Type,Link,location,name,animal_type,Age,Animal_Gender,breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,picture,image_alt_text,Description ,Temperament
K19-117020,A584516,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584516,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Minya,Cat,2 YEARS,Neutered Male,Domestic Mediumhair,Brn Tabby,05/08/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584516,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Minya and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/8/19 because they did not have much time to spend with me due to a new job. My previous owner described me as sweet and independant. I was mostly outdoors.<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-117030,A581942,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A581942,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cecil,Cat,9 MONTHS,Neutered Male,Domestic Shorthair,Buff,05/08/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A581942,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Description: Buff<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 9 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",GREEN
K19-117022,A584518,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584518,Off Site Vet,,Cat,4 YEARS,Neutered Male,Domestic Shorthair,Gray,05/08/2019 12:00:00 AM,Received on,12100 SE 84TH PL,NEWCASTLE,WA,98056,NEWCASTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584518,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 12100 SE 84TH PL, NEWCASTLE WA 98056<p/> Description: Gray Neutered Male Domestic Shorthair Cat<p/> Age: 4 YEARS<p/> Current Location: Off Site Vet<p/>",
K19-117014,A584497,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584497,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 MONTHS,Female,Domestic Longhair,Black / White,05/08/2019 12:00:00 AM,Received on,14900 SE 270TH PL,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584497,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 14900 SE 270TH PL, KENT WA 98042<p/> Description: Black / White Female Domestic Longhair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117015,A584499,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584499,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 MONTHS,Female,Domestic Longhair,Black / White,05/08/2019 12:00:00 AM,Received on,14900 SE 270TH PL,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584499,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 14900 SE 270TH PL, KENT WA 98042<p/> Description: Black / White Female Domestic Longhair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117029,A584528,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584528,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR 6 MONTHS,Neutered Male,Domestic Shorthair,Black / White,05/08/2019 12:00:00 AM,Received on,15200 156TH PL SE,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584528,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 15200 156TH PL SE, RENTON WA 98058<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117024,A584524,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Shorthair,Black / White,05/08/2019 12:00:00 AM,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584524,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K19-117025,A584525,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Female,Domestic Shorthair,Brn Tabby / White,05/08/2019 12:00:00 AM,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584525,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Brn Tabby / White Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K19-117027,A584530,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Shorthair,Brn Tabby / White,05/08/2019 12:00:00 AM,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584530,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K19-117026,A584527,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Shorthair,Brn Tabby / White,05/08/2019 12:00:00 AM,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584527,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
